"","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)"
""," 2016"," 2016"," 2016"," 2015"," 2015"," 2015"," 2010"," 2010"," 2010"," 2000"," 2000"," 2000"
"Country"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Equatorial Guinea","22","31.3","10.8","22","31.5","10.7","22.2","33","9.7","21.2","33.5","8.4"
"Eritrea","13.8","22.4","6.1","14.1","22.8","6.3","15","23.8","7","18.9","28.3","10.4"
"Estonia","14.4","25.6","4.4","13.3","23.9","3.8","14.9","26.6","4.5","25.4","43.8","9.7"
"Eswatini","16.7","25.4","9.6","16.5","25.1","9.4","15.5","24.4","8.1","16.6","26.1","8.9"
"Ethiopia","11.4","18.7","4.7","11.5","18.7","4.8","12","19.2","5.4","13.7","21","6.6"
"Fiji","5.5","8.8","2.5","5.6","8.9","2.5","5.2","7.9","2.5","4.9","6.8","3.1"
"Finland","13.8","20.8","6.8","12.4","19","5.7","16.6","25.3","8","21.6","32.8","10.7"
"France","12.1","17.9","6.5","12.5","18.5","6.7","14.8","21.8","8.1","16.9","25.1","9.3"
"Gabon","9.6","15","4.3","9.9","15.5","4.4","9.2","14.7","4.1","8.9","14.1","4.5"
"Gambia","10","12.8","7.3","10.1","12.9","7.4","10","12.7","7.3","12.3","14.6","10.1"
"Georgia","6.7","12.3","1.9","6.7","12.2","1.9","5.8","10.6","1.6","5.4","9.8","1.8"
"Germany","9.1","13.6","4.8","9.3","13.9","4.9","9.8","15.3","4.6","11.4","18","5.4"
"Ghana","8.7","15.8","2.9","8.6","15.6","2.9","7.8","14.1","2.9","7.2","11.6","2.9"
"Greece","3.8","6.1","1.5","3.6","5.8","1.5","2.6","4.6","0.6","2.9","4.5","1.2"
"Grenada","1.7","2.1","1","1.1","1.5","0.6","0.9","2.2","0","2.7","4.1","1.5"
"Guatemala","2.9","4.4","1.7","3.4","5","1.9","3.3","5.4","1.4","3.9","6.5","1.6"
"Guinea","10.5","12.7","8.4","10.7","12.9","8.7","11.2","13.7","8.7","10.6","12.3","9.1"
